,contract_id,published_date,start_date,duration_extension,outcome,second_place_outcome,buyer,region,atc,duration,contract_type,sku,end_date_extension,participants_no,quantity_annual,quantity_total,maximum_price_allowed,active_ingredient,pack_strength,participants,participants_price,published_date_month,winner,winner_price,second_place,second_place_price
0,1,2013-05-16,2013-05-24,10,won,,buyer_1,region_1,C07AB07,39,regional,molecule_x_10mg_tablet,2017-06-30,1,9860,32966.51108466745,0.1,molecule_x,10mg,participants_16,0.0004,2013-05-01,participants_16,0.0004,,
2,3,2013-06-09,2014-08-14,6,won,lost,buyer_3,region_3,C07AB07,12,regional,molecule_x_10mg_tablet,2016-02-14,2,1904,2680.639219211316,0.11635,molecule_x,10mg,participants_16,0.014,2013-06-01,participants_16,0.013999999999999999,participants_23,0.07071000000000001
2,3,2013-06-09,2014-08-14,6,won,lost,buyer_3,region_3,C07AB07,12,regional,molecule_x_10mg_tablet,2016-02-14,2,1904,2680.639219211316,0.11635,molecule_x,10mg,participants_23,0.07071,2013-06-01,participants_16,0.013999999999999999,participants_23,0.07071000000000001
3,4,2013-05-04,2013-05-17,19,won,,buyer_4,region_4,C07AB07,36,regional,molecule_x_10mg_tablet,2017-12-31,1,1652,5900.676493613122,0.03,molecule_x,10mg,participants_16,0.025,2013-05-01,participants_16,0.025,,
4,5,2013-12-18,2013-12-17,6,won,,buyer_5,region_5,C07AB07,36,regional,molecule_x_10mg_tablet,2017-06-30,1,1000,3289.223409578722,0.0001,molecule_x,10mg,participants_16,1e-05,2013-12-01,participants_16,1e-05,,
5,6,2013-12-06,2014-02-21,14,won,,buyer_6,region_6,C07AB07,48,regional,molecule_x_10mg_tablet,2019-04-20,1,2088,9026.168470095074,0.0255,molecule_x,10mg,participants_16,0.019,2013-12-01,participants_16,0.019,,
6,7,2014-02-24,2014-01-01,3,won,,buyer_7,region_7,C07AB07,12,regional,molecule_x_10mg_tablet,2015-03-31,1,16490,17282.313831779833,5e-05,molecule_x,10mg,participants_16,1e-05,2014-02-01,participants_16,1e-05,,
7,8,2014-03-08,2014-05-22,10,won,lost,buyer_8,region_8,C07AB07,36,regional,molecule_x_10mg_tablet,2018-03-22,4,10332,31951.79163203877,0.08,molecule_x,10mg,participants_16,0.03,2014-03-01,participants_16,0.03,participants_6,0.034
7,8,2014-03-08,2014-05-22,10,won,lost,buyer_8,region_8,C07AB07,36,regional,molecule_x_10mg_tablet,2018-03-22,4,10332,31951.79163203877,0.08,molecule_x,10mg,participants_5,0.08,2014-03-01,participants_16,0.03,participants_6,0.034
7,8,2014-03-08,2014-05-22,10,won,lost,buyer_8,region_8,C07AB07,36,regional,molecule_x_10mg_tablet,2018-03-22,4,10332,31951.79163203877,0.08,molecule_x,10mg,participants_6,0.034,2014-03-01,participants_16,0.03,participants_6,0.034
7,8,2014-03-08,2014-05-22,10,won,lost,buyer_8,region_8,C07AB07,36,regional,molecule_x_10mg_tablet,2018-03-22,4,10332,31951.79163203877,0.08,molecule_x,10mg,participants_23,0.04066,2014-03-01,participants_16,0.03,participants_6,0.034
8,9,2014-03-18,2014-05-30,6,won,,buyer_9,region_9,C07AB07,24,regional,molecule_x_10mg_tablet,2016-11-29,1,17413,35013.91853894217,0.0001,molecule_x,10mg,participants_16,1e-05,2014-03-01,participants_16,1e-05,,
9,10,2014-09-07,2014-08-31,7,won,,buyer_10,region_10,C07AB07,36,regional,molecule_x_10mg_tablet,2020-03-31,1,3467,10766.58581264971,0.0001,molecule_x,10mg,participants_16,0.0001,2014-09-01,participants_16,0.0001,,
11,12,2015-02-17,2015-01-01,3,won,,buyer_7,region_7,C07AB07,12,regional,molecule_x_10mg_tablet,2016-03-31,1,16490,17107.897624425834,5e-05,molecule_x,10mg,participants_16,5e-05,2015-02-01,participants_16,5e-05,,
12,13,2016-04-13,2016-06-25,6,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2019-12-24,4,2800,8589.313285066892,0.07971,molecule_x,10mg,participants_6,0.01699,2016-04-01,participants_6,0.01699,participants_23,0.06802000000000001
12,13,2016-04-13,2016-06-25,6,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2019-12-24,4,2800,8589.313285066892,0.07971,molecule_x,10mg,participants_16,0.07,2016-04-01,participants_6,0.01699,participants_23,0.06802000000000001
12,13,2016-04-13,2016-06-25,6,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2019-12-24,4,2800,8589.313285066892,0.07971,molecule_x,10mg,participants_23,0.06802,2016-04-01,participants_6,0.01699,participants_23,0.06802000000000001
12,13,2016-04-13,2016-06-25,6,won,lost,buyer_11,region_11,C07AB07,36,regional,molecule_x_10mg_tablet,2019-12-24,4,2800,8589.313285066892,0.07971,molecule_x,10mg,participants_24,0.075,2016-04-01,participants_6,0.01699,participants_23,0.06802000000000001
14,15,2017-12-01,2018-01-22,12,won,,buyer_13,region_13,C07AB07,36,regional,molecule_x_10mg_tablet,2022-01-21,1,9608,29731.30548432009,0.109,molecule_x,10mg,participants_16,0.05,2017-12-01,participants_16,0.05,,
15,16,2017-12-29,2018-03-30,26,won,lost,buyer_14,region_4,C07AB07,48,regional,molecule_x_10mg_tablet,2024-05-30,2,14476,58032.68174512516,0.025,molecule_x,10mg,participants_16,0.017,2017-12-01,participants_16,0.017,participants_4,0.0242
